,City,Latitude,Longitude,Temperature °F,Humidity (%),Cloud Coverage (%),Wind Speed (MPH)
41,Hobart,-49.80214729959666,146.01643908933465,50.85,82.0,0.0,5.75
42,San Patricio,2.585238498848213,-119.62409061627079,72.19,100.0,90.0,10.36
43,Mar Del Plata,-69.95695049208717,-23.336642203780286,69.67,73.0,40.0,17.27
44,Kintinku,-5.824495483518163,35.34609230047624,70.99,86.0,99.0,2.28
45,Gobabis,-22.234943598996395,18.4158414352371,73.06,63.0,100.0,16.35
46,Lata,-5.458652323653425,166.72135433175248,57.51,88.0,75.0,5.75
47,Alofi,-23.25832551152419,-169.88508086412804,77.0,100.0,100.0,2.3
48,Solovetskiy,65.0732537354757,36.248011039017626,,,,
49,Jamestown,-17.10423672019786,-7.716084758376837,20.77,53.0,1.0,6.91
50,Vaini,-48.48892588703627,-174.47427630208867,77.0,94.0,20.0,5.75
51,Clyde River,71.42426155588166,-73.62162828655308,6.8,92.0,90.0,41.43
52,Lagoa,48.970355954991305,-33.327453745405876,58.15,69.0,45.0,33.73
53,Cabo San Lucas,14.739854695901755,-120.73244045986988,64.92,77.0,1.0,12.66
54,Iquitos,-1.5698429371068983,-72.17685934227707,89.6,62.0,40.0,10.36
55,Provideniya,52.20065209771465,-177.55317659245563,-12.3,77.0,0.0,11.63
56,Kruisfontein,-42.838306645052235,24.782460972378743,77.0,77.0,0.0,13.0
57,Caxito,-8.87773319725082,13.572354112665977,86.0,66.0,20.0,6.91
58,Yerbogachen,63.87068605737798,105.25224069269899,-5.69,90.0,97.0,5.61
59,Commerce,33.14766138765421,-95.87774242162999,54.19,76.0,75.0,3.85
60,Kimbe,-3.959008486823265,149.04002639575782,76.68,89.0,100.0,1.86
61,Xiangdong,27.894554251511053,113.8950405282875,,,,
62,Longyearbyen,79.51990918094745,17.571047018659016,12.2,73.0,90.0,20.71
63,East London,-56.96583500670045,43.405131396143304,78.8,83.0,20.0,11.5
64,Tasiilaq,72.48075337126838,-37.598306470312394,12.2,62.0,75.0,2.3
65,Coihaique,-47.52235612116041,-77.18588443075517,80.6,36.0,20.0,8.05
66,Saleaula,2.68276429712229,-166.21476985224749,,,,
67,Busselton,-36.54269876439393,108.24454108330048,54.63,96.0,0.0,8.66
68,Dikson,84.55099004847008,73.55011780099059,-19.82,89.0,100.0,8.52
69,Te Anau,-44.39730637179438,167.14954101691785,48.81,86.0,100.0,8.75
70,Bredasdorp,-58.55188893982018,17.18176434162004,73.4,64.0,4.0,11.5
71,Hermanus,-63.15013605639423,5.851835133254582,79.0,63.0,0.0,8.01
72,Raton,37.20032683531389,-103.51396090090992,40.35,35.0,1.0,8.05
73,Kaeo,-31.79188857232024,175.04251139655696,62.01,96.0,98.0,1.99
74,Marawi,19.993145396486895,29.72450594900235,75.0,92.0,93.0,5.01
75,Saldanha,-43.101083049214,-2.0784095291054996,80.6,47.0,0.0,12.66
76,Magan,62.33247385669475,128.7585133022451,57.0,58.0,2.0,12.82
77,Konya,37.78989364363501,32.662805298378316,51.8,46.0,20.0,6.91
78,La Union,37.046411821383685,-0.26233213886465023,86.9,47.0,41.0,5.64
79,Okakarara,-21.402668223180484,18.055204719817766,71.89,76.0,100.0,7.85
80,Avarua,-68.8137693162204,-165.94337485521814,78.8,83.0,20.0,4.61
81,Sorong,2.332433966730406,132.50885295649528,81.95,81.0,100.0,6.76
82,Diofior,13.849256931413848,-17.067450105345046,95.09,18.0,0.0,6.91
83,Morlaix,49.06253141028094,-4.199392175823419,36.43,64.0,0.0,18.41
84,Turmalina,-17.397597439171136,-43.16144396049049,81.54,60.0,67.0,4.9
85,Agadez,17.51576425620945,6.941537773050612,73.69,17.0,85.0,4.41
86,Cidreira,-48.69504432040595,-29.829537353150442,78.06,70.0,5.0,12.1
87,Ambon,-6.0973225181330974,127.25755438044712,81.55,78.0,100.0,4.65
88,Soro,21.308510086204564,86.70993733687436,64.98,75.0,18.0,4.79
89,Nuuk,64.03654806926934,-50.65454282599387,26.29,93.0,75.0,5.75
90,Calvinia,-32.09835612270887,20.68347884194739,92.97,12.0,0.0,17.2
91,Codrington,25.395409697637717,-55.02467511363372,63.18,74.0,0.0,8.61
92,Vestbygda,56.88816376234789,5.982032537706203,,,,
93,Albany,-87.51480328020655,108.84192559115803,26.17,47.0,47.0,4.0
94,Marsh Harbour,29.878872322381326,-72.35975697772628,75.38,73.0,0.0,8.99
95,Campbell River,49.686820393191,-125.44952314160446,28.26,86.0,90.0,4.61
96,Aswan,24.114113828042136,31.866955131238456,78.3,18.0,95.0,10.58
97,Taolanaro,-37.70871129376994,54.516651982510325,,,,
98,Russell,-25.994655368571998,178.85905615005646,64.18,94.0,90.0,5.75
99,Lakes Entrance,-37.66429533196383,148.6165867154955,55.99,94.0,0.0,3.0
100,Shibetsu,43.14273158586286,145.00675374974668,19.18,91.0,55.0,9.28
101,Geraldton,-27.079380884557153,113.98026995953256,64.4,63.0,0.0,19.57
102,Nome,66.95541758855853,-167.04772477610516,-11.2,49.0,1.0,21.85
103,Vardo,88.9800065812662,34.56157617631982,21.2,68.0,40.0,27.63
104,Broome,-20.036592337392037,125.68602597987069,20.34,57.0,1.0,12.66
105,Nioro,14.683711610932633,-9.11587189286115,102.45,8.0,94.0,6.82
106,Leshukonskoye,66.4056495886326,46.25845123693409,-15.09,88.0,0.0,3.91
107,Namibe,-15.87688140013151,12.163842117403249,80.6,65.0,20.0,8.05
108,Norman Wells,70.20644114516483,-120.76931380977334,-38.2,67.0,40.0,4.59
109,Santa Ana,18.33377484358003,123.16140409766354,55.42,72.0,75.0,3.44
110,Berdigestyakh,62.85040730450419,125.88512935431316,-15.16,87.0,0.0,4.97
111,Souillac,-32.898175801596295,64.68659842623748,80.6,74.0,40.0,9.22
112,Cangzhou,38.508652833782776,116.69102778153825,43.11,59.0,0.0,7.52
113,Galdar,28.394556622580566,-15.878035478594853,67.41,72.0,75.0,5.75
114,Kahului,36.2588717102434,-149.99847367325668,64.29,72.0,1.0,9.22
115,Mehamn,75.85746582081586,26.81073431093384,23.0,63.0,75.0,19.57
116,Atuona,0.04515533209682587,-132.28368831698955,78.93,77.0,6.0,20.31
117,Thurles,52.71845195216727,-7.618508758525735,33.66,67.0,92.0,4.0
118,Bridgend,51.20248036455848,-3.7279463405044453,33.93,64.0,40.0,16.11
119,Torbay,47.48478663050162,-52.12120273741023,26.15,80.0,75.0,27.63
120,Gondar,12.282176096048232,36.955520716431835,59.74,33.0,65.0,5.7
121,Dobryatino,55.4263112406224,41.36976651958392,5.83,95.0,100.0,7.81
122,Kodiak,48.862043490727046,-148.00901922091268,37.4,75.0,90.0,16.11
123,Vao,-28.58932074200864,169.37572120086486,76.41,84.0,0.0,14.07
124,Fochville,-26.329364678159216,27.164398431041008,72.66,79.0,11.0,5.95
125,Olinda,-9.002020771319025,-25.020662910008923,84.2,65.0,40.0,11.5
126,Tukrah,34.91008998375949,19.17823265161792,63.12,47.0,0.0,10.38
127,Puerto Ayora,-3.5109042851759398,-94.84755292547227,80.8,83.0,75.0,5.75
128,Nikolskoye,39.91911342742057,175.32597454434733,6.48,85.0,75.0,4.12
129,Amderma,86.40231500847472,63.18925543990048,,,,
130,Loei,18.056029763492432,101.19754691421076,70.0,66.0,47.0,0.98
131,Bellevue,44.54512472988844,-87.66145190702882,30.9,86.0,75.0,8.05
132,Hamilton,27.883229040901924,-63.90666566008129,20.26,73.0,90.0,8.05
133,Barrow,74.59338339916525,-158.91427271546328,-16.6,76.0,90.0,12.66
134,San Matias,-16.60094564099724,-59.04158806782098,93.7,40.0,76.0,4.9
135,Nador,34.6499204647677,-1.86947194241597,67.84,63.0,20.0,16.11
136,Kaitangata,-60.235534742964475,174.68221760538182,55.0,56.0,100.0,8.01
137,Montlucon,46.347109555149245,2.6598666468516683,31.84,97.0,100.0,6.51
138,Touros,-2.125118299791197,-34.853227999594225,89.6,55.0,40.0,18.41
139,Mount Gambier,-40.302635025745964,138.85001132747993,66.2,55.0,5.0,5.75
140,Santa Maria,16.596213970064056,-22.62354983326469,78.8,73.0,75.0,6.91
141,Port Elizabeth,-49.07119354832684,28.449951420299385,78.8,73.0,20.0,11.5
142,Damghan,35.86332290974144,53.95036060605989,53.89,42.0,100.0,3.18
143,Teabo,20.3509199537297,-89.11500587565959,87.84,44.0,5.0,7.43
144,Lincoln,45.018366412390606,-67.95043074832309,9.84,66.0,75.0,12.66
145,Inhambane,-27.63620656150701,38.62500504568732,84.2,65.0,40.0,11.5
146,Mount Isa,-22.186914640045956,139.1236987844727,84.2,61.0,75.0,9.22
147,Abilene,32.56079773679234,-99.15850757033544,26.37,93.0,90.0,12.66
148,Flinders,-33.00203986529922,128.4857657813297,64.42,84.0,82.0,1.01
149,Oranjestad,12.932494548892507,-70.37373030857941,80.6,74.0,20.0,18.41
150,Saskylakh,86.3128834270637,118.67680434194943,-20.54,84.0,4.0,10.02
151,Kavaratti,13.092919305485111,65.8279720204199,81.9,63.0,47.0,7.61
152,Goldsboro,35.36450631708615,-78.17518775022991,49.42,53.0,75.0,9.22
153,Sinnamary,16.193321986071794,-45.24260353842615,79.59,75.0,100.0,10.6
154,Japura,-1.9909588425330043,-70.97475180797865,76.01,94.0,9.0,1.77
155,Warrington,28.32435717609539,-87.35239504008348,34.34,60.0,75.0,11.5
156,Cabra,14.212004852956781,119.39712954348249,61.03,88.0,40.0,5.75
157,Olafsvik,61.49201224879306,-30.749152233835616,34.88,88.0,100.0,15.39
158,Jiddah,23.07373590020201,39.23610500775197,,,,
159,Port Lincoln,-35.53289107898516,134.74259456494764,73.94,49.0,61.0,13.09
160,Penhold,51.99953306864458,-113.68006761227872,-23.8,69.0,90.0,5.75
161,Guerrero Negro,23.023133356487975,-119.05074166019692,58.53,68.0,100.0,14.58
162,Bolungarvik,65.82343921166577,-23.025612410595585,,,,
163,Suntar,61.58323916314558,118.90213449934743,0.7,93.0,100.0,3.13
164,Yellowknife,68.48892367292206,-113.94797246538994,-12.77,76.0,20.0,6.91
165,Saint Paul,54.837660318674494,-111.40915125671779,4.26,55.0,90.0,9.22
166,Thilogne,15.66520915142732,-14.023744358638595,,,,
167,Huarmey,-18.238870038806283,-93.45339155221737,77.02,60.0,80.0,7.56
168,Maragogi,-16.449881357268552,-25.756546893919136,83.86,69.0,74.0,13.38
169,Katherine,-14.595464434776446,131.85209502184182,80.6,83.0,100.0,5.75
170,Nantucket,37.55115403013035,-68.47250792257597,27.72,74.0,1.0,16.11
171,Vredendal,-32.024484056908,18.367544290451605,89.55,29.0,0.0,19.69
172,Maarianhamina,59.729571438827236,20.87460226021608,17.6,93.0,40.0,6.91
173,Mahebourg,-37.08663164303665,69.067542245873,80.6,74.0,40.0,9.22
174,Anshun,26.200736596773254,106.32280053886853,41.47,94.0,2.0,2.21
175,Truth Or Consequences,32.78699684181014,-107.43340818863348,51.8,19.0,1.0,2.93
176,Churachandpur,24.304244657930226,93.3817253674307,51.62,61.0,1.0,1.52
177,Talcahuano,-33.275698227700644,-79.18465578157773,60.8,88.0,90.0,8.05
178,Saint-Philippe,-27.57313520684842,56.46024581395514,76.73,65.0,75.0,3.44
179,Dunedin,-50.16529433695711,174.35277838946723,56.55,51.0,86.0,1.99
180,Ahipara,-34.648226666990126,166.46182981282476,62.28,90.0,100.0,8.37
181,Vila Velha,-28.018838135209812,-26.212593653268158,83.21,62.0,40.0,10.36
182,Lavrentiya,76.02938524686928,-168.0945988177194,-25.26,80.0,0.0,8.7
183,Verkhneyarkeyevo,55.17682385614367,54.160172812585415,-3.1,92.0,91.0,6.98
184,Ancud,-40.5787393150311,-96.84584110351824,80.58,44.0,0.0,5.75
185,Arman,55.693184665724914,148.14824053450621,16.27,90.0,91.0,13.42
186,College,70.04414092170555,-147.18143613023437,-10.03,64.0,75.0,6.91
187,Sentyabrskiy,32.53726613349916,159.82488479690363,,,,
188,Chernyshevskiy,64.11794220229746,111.49521267753619,-16.17,91.0,96.0,0.43
189,Micheweni,-5.933343772238857,43.84924739354835,81.5,75.0,100.0,14.36
190,Grand River South East,-18.43397115891534,69.53626888615008,,,,
191,Airai,14.52626850751156,144.38185036821744,61.21,100.0,100.0,1.57
192,Samarai,-14.916461746102286,154.99237876575927,81.99,77.0,95.0,12.28
193,Meulaboh,-5.159225782070266,88.42340158066435,78.39,88.0,97.0,4.45
194,Hasaki,34.767952216870356,142.53354537911048,35.73,93.0,20.0,4.61
195,Saint-Francois,18.334930238158506,-54.291594022461055,33.42,86.0,90.0,13.8
196,Diffa,15.231774343568887,13.211354702527842,78.26,16.0,28.0,7.27
197,Pimampiro,0.04883806406080282,-77.51732868307639,60.8,72.0,75.0,6.91
198,Biak,1.653436454876612,139.53502955023737,77.77,82.0,80.0,3.06
199,Basoko,1.6159908513692471,23.6022693118166,83.89,36.0,97.0,2.55
200,Panjab,33.85401136249607,67.06689232695177,17.35,77.0,13.0,4.14
201,Goderich,4.948334551232037,-18.16411948299944,17.6,62.0,80.0,9.22
202,Taoudenni,26.17424689722114,-3.997254737356002,83.75,12.0,0.0,9.51
203,Skiathos,39.11187379384728,23.54999445473709,55.99,59.0,21.0,4.0
204,Mys Shmidta,78.12606836476488,-176.26452838197093,,,,
205,Haibowan,40.82456349106201,105.90430221660785,,,,
206,Mildura,-34.644483823636236,141.4072811026261,76.03,43.0,0.0,6.91
207,Amahai,-2.281719404334538,127.96930540932539,79.83,82.0,98.0,3.96
208,Todos Santos,23.650368167545267,-109.31314622727511,64.99,70.0,23.0,5.99
209,Nanchang,28.7724909418111,115.25044001770061,52.95,94.0,100.0,9.37
210,Lazurne,45.71282917812502,32.43170996745039,41.79,100.0,75.0,4.47
211,Paka,5.577233062519312,106.39124012160096,77.0,94.0,82.0,4.85
212,Cherskiy,82.49006311196803,160.90304244511145,-8.88,85.0,0.0,3.06
213,Gimli,51.48022900914748,-96.48616916492115,-20.2,76.0,87.0,5.91
214,Vila,-14.7515424954168,174.1009825699441,51.01,78.0,67.0,11.01
215,Victoria,-7.0638440514981085,60.21800516953712,60.58,88.0,91.0,7.49
216,Khatanga,74.4812495696253,107.66576746330333,-14.48,85.0,52.0,6.89
217,Capreol,47.10123129371914,-81.09973778348494,7.47,55.0,20.0,2.3
218,Grojec,51.54755514171802,20.661255118254587,19.0,100.0,100.0,4.65
219,Berlevag,74.41526050584275,29.176476662382612,20.17,86.0,75.0,21.85
220,Visconde Do Rio Branco,-20.914960706699375,-42.97819322527951,81.64,66.0,57.0,7.92
221,Kudahuvadhoo,1.905182830253608,70.21799797871344,81.41,78.0,23.0,10.54
222,North Platte,42.58399638476166,-101.61136148678887,7.36,72.0,90.0,5.75
223,Kemi,65.54567895831585,24.35237148815895,-13.0,77.0,75.0,2.3
224,Leningradskiy,70.64049487753707,178.91441240057713,-27.94,83.0,61.0,11.92
225,Chokurdakh,87.38517256652446,146.13075748869358,-10.95,89.0,29.0,7.7
226,Muros,45.640513480773336,-16.353452414337085,55.06,68.0,98.0,5.01
227,Heihe,50.42176055808798,126.54659499350669,12.2,67.0,0.0,2.24
228,Georgetown,-10.615133157494583,-18.215024443326342,82.2,74.0,20.0,4.61
229,Mpanda,-5.839949817542205,30.671542941420995,68.54,90.0,100.0,0.87
230,Aklavik,67.64257436071736,-137.93012720500116,-29.2,68.0,0.0,5.75
231,Nizhneyansk,88.55221977506474,143.09416478473344,,,,
232,Tamale,9.432900976726089,-1.322017783377106,101.91,8.0,33.0,6.91
233,Ca Mau,6.744691440920391,105.2572168554658,75.49,89.0,86.0,3.87
234,Puerto Madero,13.70407336143154,-93.26603943761934,82.4,78.0,40.0,6.91
235,Saint George,26.533906678888584,-56.80441266335528,50.79,46.0,1.0,0.18
236,Esperance,-31.025054729339757,120.54964858693427,60.8,77.0,90.0,11.5
237,Atasu,48.91133280813253,70.92231343504966,-10.84,83.0,28.0,4.68
238,Uyuni,-19.664126177338346,-68.34239254442213,60.48,29.0,21.0,15.88
239,Eureka,41.39183950986845,-130.24753198460547,39.69,100.0,40.0,1.74
240,Avera,-30.793184239624168,-154.96517197073882,65.64,52.0,1.0,3.44
241,Nanortalik,55.36866251760398,-48.93860353697556,27.45,88.0,65.0,7.72
242,Atar,22.137691714597423,-10.834517933326026,88.34,10.0,0.0,8.52
243,Nemuro,38.222038697037306,147.5700020954381,23.5,89.0,42.0,17.47
244,Hithadhoo,-1.9661925318587663,64.12335717238392,82.54,74.0,19.0,11.63
245,Dingle,54.71037007535634,-18.671792214132154,75.69,88.0,100.0,2.26
246,Kosonsoy,41.22221440981966,71.31947776710496,50.0,81.0,100.0,2.3
247,Le Port,-17.324067820589406,54.09893688603168,72.81,78.0,83.0,12.66
248,Ballina,-30.385148693379065,156.41428512672923,65.53,94.0,75.0,4.61
249,Vestmannaeyjar,59.71835271404609,-19.765874429819263,39.2,70.0,40.0,16.11
250,Tsihombe,-54.32816869234631,48.557264834935495,,,,
251,Melo,-31.97851663646135,-54.160677317481074,81.75,53.0,81.0,6.33
252,Ust-Kuyga,69.48321649257198,135.81748483878044,-16.89,81.0,23.0,2.66
253,Myaundzha,61.94899918275567,147.12711271607094,0.82,88.0,76.0,5.68
254,Kamenskoye,64.39091025137739,164.32464725972898,,,,
255,Tumannyy,82.88646096932465,37.7815429797659,,,,
256,Tibu,8.57184948896547,-72.70766810271456,90.25,46.0,57.0,3.53
257,Assiniboia,48.11848614708734,-106.40669793411219,-20.2,57.0,28.0,12.66
258,Bilma,18.055640983762885,11.374624265686833,76.78,15.0,0.0,6.6
259,Beloha,-25.353657052958184,44.52629172124966,71.89,88.0,100.0,14.23
260,York,54.08480741983027,-0.7338915408280116,32.65,51.0,20.0,8.05
261,Dhidhdhoo,8.27139393232315,73.08216792178956,82.18,66.0,9.0,6.53
262,Pakokku,21.19789455229764,95.18296803354701,70.74,33.0,0.0,1.54
263,Port Macquarie,-36.62588335256946,160.59679200350934,63.0,99.0,45.0,1.99
264,Maxixe,-24.330592776588787,35.23472146099027,84.2,65.0,40.0,11.5
265,Asandh,29.557301746503526,76.40292891484683,59.45,40.0,0.0,3.94
266,Zhigansk,70.67587190455322,122.12631103002775,-19.7,84.0,0.0,10.09
267,Hinova,44.55275757300984,22.719861530752468,51.8,78.0,100.0,5.41
268,Laguna,-42.648726421138484,-32.353860799574505,50.07,93.0,1.0,2.51
269,Katangli,51.2136781634654,144.08255724765883,15.35,96.0,100.0,16.55
270,Padang,-0.629980768329915,99.665622925624,77.0,83.0,20.0,3.44
271,Fairbanks,65.20997424381733,-144.1895619372541,-10.1,70.0,90.0,3.56
272,Mentok,-1.5416261561437636,105.43329314739952,,,,
273,Araouane,20.64832580057721,-3.7354945820302135,86.85,11.0,45.0,8.57
274,Mandalgovi,44.8037858289822,107.3069971326641,29.35,79.0,99.0,20.96
275,Zlutice,50.19045090040632,13.216460990465293,12.63,79.0,75.0,6.91
276,Tura,65.95465704011792,104.82501732747829,61.57,41.0,40.0,1.99
277,Skelleftea,65.30160727674422,19.68032224316903,3.65,85.0,0.0,8.05
278,Bargal,10.56062321504497,55.877241713338265,,,,
279,Samusu,-7.7785925617902905,-161.92271500858382,,,,
280,Chicama,-14.173591231645872,-90.27343881922738,71.6,83.0,75.0,6.91
281,Faanui,-6.159330244207808,-153.86132087734887,81.07,67.0,0.0,9.22
282,Acapulco,14.407851629324199,-100.68815405672773,82.4,54.0,1.0,5.75
283,Sao Gabriel Da Cachoeira,1.5752144922610967,-67.17412920955228,86.0,66.0,40.0,5.75
284,Komsomolskiy,69.22158504867883,173.0742868998655,50.0,81.0,100.0,2.3
285,Osoyoos,48.736119645310566,-119.46278682561851,19.4,53.0,89.0,11.5
286,Hasilpur,29.638054214746745,72.74373281625614,63.37,28.0,0.0,5.44
287,Xacmaz,41.42719282973886,49.262576080608994,46.71,90.0,21.0,4.34
288,Bourges,47.22246697051392,2.4495996865982477,27.16,86.0,90.0,11.5
289,Sao Joao Da Barra,-34.43547043743018,-23.017787443303206,86.0,51.0,20.0,16.11
290,Vila Franca Do Campo,36.394444441191524,-22.441814840644128,60.8,88.0,75.0,19.57
291,Betanzos,-19.384358275637368,-65.39410775648369,54.09,62.0,20.0,10.36
292,Kyren,51.22828669409259,101.54281671307484,7.7,89.0,100.0,0.72
293,Quarai,-30.213780385615557,-56.439332480452606,78.04,62.0,83.0,3.22
294,Uusikaupunki,60.674450329112744,20.704952280989716,10.4,85.0,0.0,3.44
295,Gizo,-11.616137869886984,155.4310597455339,82.45,75.0,71.0,7.38
296,Talnakh,75.45391539269178,91.96227059761719,-12.33,82.0,15.0,4.54
297,Ruidoso,33.09974870705359,-105.78398002418857,49.53,17.0,1.0,5.75
298,Ilulissat,87.01486428247853,-41.1129020940235,14.0,41.0,1.0,19.57
299,Moussoro,13.104181603906625,16.79218679450588,80.13,15.0,3.0,8.68
300,Tiksi,87.7893424217171,131.46472251868744,-17.7,88.0,15.0,4.38
301,High Level,58.93520096412945,-115.30233957683703,-16.6,76.0,90.0,2.3
302,Asfi,31.83156521372554,-9.951066764719627,62.22,72.0,0.0,8.23
303,Ust-Charyshskaya Pristan,52.151356583655485,83.77611309370332,-9.78,88.0,100.0,13.15
304,Attawapiskat,53.86912973723392,-83.73715023990121,,,,
305,Anan,33.75995269223171,134.8871875573634,44.6,65.0,20.0,6.91
306,Mangai,-3.5482590983456674,19.345645726027044,82.11,65.0,100.0,2.84
307,Karaul,72.31447940758002,85.19660673758074,,,,
308,Bilibino,66.08127819652793,167.52130954463627,-9.36,86.0,7.0,2.64
309,Mocuba,-17.06490373027499,37.70132741578462,77.29,94.0,100.0,4.34
310,San Cristobal,-6.032248112588562,-88.70225482978009,78.8,69.0,75.0,6.91
311,Carnarvon,-21.1392421371431,103.32643357343107,73.4,88.0,0.0,24.16
312,Hit,33.41309868998765,43.148680966406886,64.35,40.0,62.0,9.04
313,Richards Bay,-31.520508214861756,35.692600941746946,77.05,83.0,94.0,6.82
314,Lodja,-2.224206791916018,23.65103255741826,81.16,61.0,100.0,2.04
315,Telde,27.943683584381645,-15.006686312770313,68.07,73.0,75.0,6.91
316,Lubango,-14.198912113790925,13.04570435029683,77.0,71.0,40.0,11.5
317,Makakilo City,15.828726733252594,-161.45495304345934,57.7,77.0,1.0,3.44
318,Daura,11.290431093546943,11.425172656877749,84.38,13.0,3.0,8.63
319,Bumba,2.175061657529838,22.09536437385779,82.76,32.0,100.0,0.98
320,Kungsbacka,57.10330416086305,11.402589699441677,23.23,73.0,90.0,12.66
321,Narasannapeta,14.42576504135792,87.32501665363611,69.06,75.0,0.0,1.66
322,Klaksvik,65.20656571407324,-5.327119085921481,24.8,74.0,31.0,1.14
323,Winslow,35.14450529267218,-110.44908468140017,45.0,36.0,90.0,6.38
324,Juegang,33.395537337501125,122.3674579293143,48.99,84.0,100.0,8.1
325,Ust-Tsilma,64.8690313580098,50.36416788848561,-13.7,89.0,81.0,3.51
326,Ugoofaaru,5.369476063457853,71.26818320736677,81.72,65.0,0.0,6.33
327,Port Hardy,43.301437611090876,-139.40666482934967,25.09,86.0,40.0,5.75
328,Zdvinsk,54.537872925329935,78.57400165827426,-22.16,87.0,95.0,8.03
329,Ponta Delgada,29.081583758145996,-27.444889271943367,60.8,88.0,75.0,19.57
330,Presidencia Roque Saenz Pena,-27.818054888515682,-61.11712940969491,86.0,53.0,100.0,1.99
331,Evensk,64.5743949050194,161.23358666879608,10.76,89.0,35.0,11.92
332,Tonj,6.596463637825224,29.3135599475452,86.56,16.0,89.0,4.25
333,Texarkana,34.06188779981345,-94.30766481659518,38.53,93.0,90.0,5.75
334,Karasjok,68.18683391680537,25.772123848482494,19.4,73.0,0.0,12.66
335,Madera,37.27086326622596,-119.86799373081713,49.57,84.0,6.0,1.21
336,Qui Nhon,14.026033759090325,112.95941496387121,71.2,79.0,95.0,13.94
337,Mitchell,42.800764187313575,-99.2236552702078,6.8,51.0,40.0,10.36
338,Shanting,35.335129174990854,117.33208677400603,42.98,64.0,16.0,5.84
339,Imbituba,-29.10712691633082,-42.95459440770381,82.4,57.0,40.0,10.36
340,Marcona,-15.771522333745551,-76.9972139701473,,,,
341,Ordu,40.92545251050572,38.03288769827401,55.4,82.0,75.0,9.22
342,Severo-Kurilsk,51.688681103997,152.83365889817856,25.48,89.0,83.0,8.88
343,Cheremukhovo,61.14665720394012,59.0869832753059,-20.2,84.0,0.0,3.06
344,Boa Vista,1.1559485337422188,-62.060048396164646,87.8,42.0,40.0,20.71
